names,community,role,color,shape,,,,,
ID1,2,Administrator,color-based_on_community_assigned,man,Cross-Tabulation,,,,
ID8,1,Administrator,color-based_on_community_assigned,man,Communities,Administrator,Faculty,Faculty_Admin,Student
ID10,1,Administrator,color-based_on_community_assigned,man,1,2,2,3,0
ID20,2,Administrator,color-based_on_community_assigned,man,2,2,4,1,1
ID2,3,Faculty,color-based_on_community_assigned,woman,3,0,1,0,0
ID3,1,Faculty,color-based_on_community_assigned,man,4,0,0,0,1
ID7,5,Faculty,color-based_on_community_assigned,man,5,0,3,0,0
ID9,5,Faculty,color-based_on_community_assigned,woman,6,0,1,0,5
ID11,2,Faculty,color-based_on_community_assigned,woman,,,,,
ID26,2,Faculty,color-based_on_community_assigned,woman,,,,,
ID12,5,Faculty,color-based_on_community_assigned,woman,,,,,
ID15,1,Faculty,color-based_on_community_assigned,man,,,,,
ID22,6,Faculty,color-based_on_community_assigned,woman,,,,,
ID24,2,Faculty,color-based_on_community_assigned,man,,,,,
ID25,2,Faculty,color-based_on_community_assigned,woman,,,,,
ID6,1,Faculty_Admin,color-based_on_community_assigned,man,,,,,
ID13,1,Faculty_Admin,color-based_on_community_assigned,man,,,,,
ID16,2,Faculty_Admin,color-based_on_community_assigned,woman,,,,,
ID23,1,Faculty_Admin,color-based_on_community_assigned,man,,,,,
ID4,6,Student,color-based_on_community_assigned,woman,,,,,
ID5,4,Student,color-based_on_community_assigned,man,,,,,
ID14,6,Student,color-based_on_community_assigned,woman,,,,,
ID17,2,Student,color-based_on_community_assigned,woman,,,,,
ID18,6,Student,color-based_on_community_assigned,man,,,,,
ID19,6,Student,color-based_on_community_assigned,woman,,,,,
ID21,6,Student,color-based_on_community_assigned,woman,,,,,
